selected	uid	startUnit	price	endUnit	patients_treatmentPlans_steps_treatments_serviceCodeGroups_serviceCodes_un_id
True	4cbd2285-71c7-471c-83d3-caa5d22402b9	1	60.0		1
True	b843cdf9-5d10-4aa6-a262-f020e5922ef8	1	110.0		2
True	a0b049ac-d44a-467b-9be3-4f89c4050379	1	80.0		3
True	45f044fe-8127-40c1-961e-d818c5890737	1	40.0		4
True	49c2a964-2ca2-4807-a3ae-993222bb5451	1	40.0		5
True	bf02675d-cf97-4a89-8dcc-50f71aaaa977	1	125.0		6
True	d02d98b2-1efa-48fc-a6b2-a7febb62b657	1	90.0		7
True	c9cccb9a-1104-4377-9456-a1df099bdfaa	1	100.0		8
True	80986e09-7a7a-4033-b041-d33decc6dfa0	1	150.0		9
True	8ddd35b3-626d-44c3-bcf4-1674acd57046	1	250.0		10
True	a8465b6e-17c4-482d-8f87-f1c630e1e0e4	1	250.0		11
True	727ed227-65ea-4413-bc4f-1f0dcb3fa5ee	1	80.0		12
True	277262d2-1833-463b-8bb6-008de702e264	1	70.0		13
True	4ac2a2a1-626d-4f99-a50b-f8e7f348a123	1	100.0		14
True	c9399449-c158-4b99-9260-5f3a4737ec50	1	200.0		15
True	bbdee0ff-bffc-4688-994d-0afaaefec912	1	30.0		16
True	4cbd2285-71c7-471c-83d3-caa5d22402b9	1	60.0		17
True	b843cdf9-5d10-4aa6-a262-f020e5922ef8	1	110.0		18
True	a2427683-ebc0-48dd-91a8-48c29d0ea130	1	50.0		19
False	fb818e29-83d8-4e2a-83bb-0303e415eeaa	1			20
False	975136d5-8d36-48c4-a773-b7821916c3e8	1			21
True	819b1f68-5d1e-42b4-98a2-729e68c8667b	1	300.0		22
True	c6a66488-d1a5-4a14-9013-aee9011b09f4	1	350.0		23
True	42d68d7d-68b9-499f-953e-7aba6445c3ba	1	400.0		24
True	402f3cb2-0155-491d-98f6-f2a30641151d	1	450.0		25
True	5fb7c4b8-a965-40cc-8076-4523bda2e50b	1	900.0		26
True	845fd959-7740-4ac6-86e7-e3fff92a4d6e	1	0.0		27
True	2eef5e1d-82cf-4a38-9470-163a9136f968	1	350.0		28
True	be15b39c-5c1d-4de7-9193-7dcdcde4273f	1	400.0		29
True	a184b1cc-fbcb-4592-8499-1317bafaf22c	1	450.0		30
True	32468bb4-9951-4c11-9a9e-f05e3d76ce4e	1	500.0		31
True	dad54789-2d07-4cff-9139-5a13e3bc1719	1	100.0		32
True	1d282543-0f66-43e4-8b0c-0c75a9a2ec95	1	149.0		33
True	fac9b42b-b485-4de5-8810-bddf3f0b5c88	1	100.0		34
True	819b1f68-5d1e-42b4-98a2-729e68c8667b	1	300.0		35
True	c6a66488-d1a5-4a14-9013-aee9011b09f4	1	350.0		36
True	42d68d7d-68b9-499f-953e-7aba6445c3ba	1	400.0		37
True	402f3cb2-0155-491d-98f6-f2a30641151d	1	450.0		38
True	5fb7c4b8-a965-40cc-8076-4523bda2e50b	1	900.0		39
True	845fd959-7740-4ac6-86e7-e3fff92a4d6e	1	0.0		40
True	2eef5e1d-82cf-4a38-9470-163a9136f968	1	350.0		41
True	be15b39c-5c1d-4de7-9193-7dcdcde4273f	1	400.0		42
True	a184b1cc-fbcb-4592-8499-1317bafaf22c	1	450.0		43
True	32468bb4-9951-4c11-9a9e-f05e3d76ce4e	1	500.0		44
True	dad54789-2d07-4cff-9139-5a13e3bc1719	1	100.0		45
True	1d282543-0f66-43e4-8b0c-0c75a9a2ec95	1	149.0		46
True	fac9b42b-b485-4de5-8810-bddf3f0b5c88	1	100.0		47
True	819b1f68-5d1e-42b4-98a2-729e68c8667b	1	300.0		48
True	c6a66488-d1a5-4a14-9013-aee9011b09f4	1	350.0		49
