price	uid	startUnit	selected	endUnit	patients_treatmentPlans_steps_treatments_serviceCodeSmartGroups_serviceCodes_un_id
300.0	819b1f68-5d1e-42b4-98a2-729e68c8667b	1	True		1
350.0	c6a66488-d1a5-4a14-9013-aee9011b09f4	1	True		2
400.0	42d68d7d-68b9-499f-953e-7aba6445c3ba	1	True		3
450.0	402f3cb2-0155-491d-98f6-f2a30641151d	1	True		4
900.0	5fb7c4b8-a965-40cc-8076-4523bda2e50b	1	True		5
0.0	845fd959-7740-4ac6-86e7-e3fff92a4d6e	1	True		6
350.0	2eef5e1d-82cf-4a38-9470-163a9136f968	1	True		7
400.0	be15b39c-5c1d-4de7-9193-7dcdcde4273f	1	True		8
450.0	a184b1cc-fbcb-4592-8499-1317bafaf22c	1	True		9
500.0	32468bb4-9951-4c11-9a9e-f05e3d76ce4e	1	True		10
300.0	819b1f68-5d1e-42b4-98a2-729e68c8667b	1	True		11
350.0	c6a66488-d1a5-4a14-9013-aee9011b09f4	1	True		12
400.0	42d68d7d-68b9-499f-953e-7aba6445c3ba	1	True		13
450.0	402f3cb2-0155-491d-98f6-f2a30641151d	1	True		14
900.0	5fb7c4b8-a965-40cc-8076-4523bda2e50b	1	True		15
0.0	845fd959-7740-4ac6-86e7-e3fff92a4d6e	1	True		16
350.0	2eef5e1d-82cf-4a38-9470-163a9136f968	1	True		17
400.0	be15b39c-5c1d-4de7-9193-7dcdcde4273f	1	True		18
450.0	a184b1cc-fbcb-4592-8499-1317bafaf22c	1	True		19
500.0	32468bb4-9951-4c11-9a9e-f05e3d76ce4e	1	True		20
300.0	819b1f68-5d1e-42b4-98a2-729e68c8667b	1	True		21
350.0	c6a66488-d1a5-4a14-9013-aee9011b09f4	1	True		22
400.0	42d68d7d-68b9-499f-953e-7aba6445c3ba	1	True		23
450.0	402f3cb2-0155-491d-98f6-f2a30641151d	1	True		24
900.0	5fb7c4b8-a965-40cc-8076-4523bda2e50b	1	True		25
0.0	845fd959-7740-4ac6-86e7-e3fff92a4d6e	1	True		26
350.0	2eef5e1d-82cf-4a38-9470-163a9136f968	1	True		27
400.0	be15b39c-5c1d-4de7-9193-7dcdcde4273f	1	True		28
450.0	a184b1cc-fbcb-4592-8499-1317bafaf22c	1	True		29
500.0	32468bb4-9951-4c11-9a9e-f05e3d76ce4e	1	True		30
300.0	819b1f68-5d1e-42b4-98a2-729e68c8667b	1	True		31
350.0	c6a66488-d1a5-4a14-9013-aee9011b09f4	1	True		32
